Video ID,Title,publishedAt,Duration,Views,Likes,Comments,TranslatedTitle,DurationSec,ContentType,EngageRatio,publishedTime
nWua61rAJsE,British College Students try Korean Chicken BBQ + Fried Rice rolls!,2024-07-13 11:30:30,1900-01-01 00:15:01,1518093,63440,1638.0,British College Students Try Korean Chicken BBQ + Fried Rice Rolls!,901,Longs,0.04286825642434291,12:00:00
IfHA3zOE6dQ,British College Students get SHY in front of K-POP Girl Group fromis_9!!,2024-07-10 12:55:41,1900-01-01 00:22:09,1679859,79970,3674.0,British College Students Get Shy in Front of k-Pop Girl Group fromis_9 !!,1329,Longs,0.049792274232539756,13:00:00
M0NRzhboz1I,British Uni Boys Call Home from Boot Camp!,2024-07-03 11:31:11,1900-01-01 00:10:05,1252068,67131,2835.0,British Uni Boys Call Home from Boot Camp!,605,Longs,0.055880351546401634,12:00:00
vF9x01la7k4,Korean Navy Officers Try British Rations for the First Time!!,2024-06-29 11:30:33,1900-01-01 00:06:52,1291606,46217,1429.0,Korean Navy Officers Try British Rates for the First Time !!,412,Longs,0.0368889583975299,12:00:00
F8CRyMQbqY0,Korean Turtle Chips with Top ATP Tennis Players!,2024-06-27 13:00:22,1900-01-01 00:00:51,137690,7390,93.0,Korean turtle chips with top attack Tennis Players!,51,Shorts,0.0543467208947636,13:00:00
6Bj2KEmNhVo,Korean Grape drinks with Top ATP Tennis Players!,2024-06-26 13:00:06,1900-01-01 00:00:41,125457,6413,45.0,Korean Grape Drinks with Top Atp Tennis Players!,41,Shorts,0.05147580445889827,13:00:00
Qat8PGr4_gk,British Uni Students Try Korean Navy Rations for the First Time ON A WARSHIP!,2024-06-26 11:30:21,1900-01-01 00:10:41,1626074,62189,1724.0,British Uni Students Try Korean Navy Rates for the First Time on a Warship!,641,Longs,0.03930509927592471,12:00:00
5uBNCDzDyvg,ATP Tennis Players try Tteokbokki Snack!,2024-06-25 13:00:06,1900-01-01 00:00:59,93520,5274,36.0,ATP Tennis Players TTEOKBOKKI SNACK!,59,Shorts,0.05677929854576561,13:00:00
Xi05X2sraeo,ATP Tennis players try Korean Traditional Rice Snack!,2024-06-24 13:00:35,1900-01-01 00:00:55,123905,6549,61.0,ATP Tennis Players Try Korean Traditional Rice Snack!,55,Shorts,0.053347322545498566,13:00:00
avRKg_hjhIw,Top ATP Tennis Players try MILKIS for the First Time!,2024-06-23 13:00:02,1900-01-01 00:00:50,128294,6339,59.0,TOP ATP Tennis Players Try Milkis for the First Time!,50,Shorts,0.04986983023368201,13:00:00
8Tio_3OcWMU,Korean Chocopie VS. US Moon Pie,2024-06-22 13:00:14,1900-01-01 00:01:00,184640,10366,154.0,Korean ChoCopie vs.Us Moon Pie,60,Shorts,0.05697573656845754,13:00:00
Be0_aSuVXak,Top ATP Tennis Players try Korean Shrimp Snacks!,2024-06-21 17:31:03,1900-01-01 00:00:56,121765,6160,70.0,TOP ATP Tennis Players Try Korean Shrimp SNACKS!,56,Shorts,0.05116412762288014,18:00:00
9e5PoWlEQ-A,British Students go to a Korean Aircraft Carrier Cafeteria!!,2024-06-19 11:30:43,1900-01-01 00:15:04,2612320,85485,3072.0,British Students Go to a Korean Aircraft Carrier Carrier CAFETERIA !!,904,Longs,0.033899751944631594,12:00:00
5cBOR1tZPRU,The Korean NAVY SEAL fitness test,2024-06-12 12:58:40,1900-01-01 00:32:44,2454846,81767,3390.0,The Korean Navy Seal Fitness Test,1964,Longs,0.03468934507500674,13:00:00
RCFbS6tfECo,British Students try Shocking Korean Navy Boot Camp Snacks!,2024-06-08 11:30:11,1900-01-01 00:12:42,2510763,85308,2383.0,British Students Try Shocking Korean Navy Boot Camp Snacks!,762,Longs,0.034926036427970306,12:00:00
lwU2A1TMADo,Korean Navy Gas Chamber training is HARDCORE,2024-06-05 11:30:21,1900-01-01 00:27:32,2845090,118381,9776.0,Korean Navy Gas Chamber Training Is hardcore,1652,Longs,0.045044972215290205,12:00:00
gDIT9nhkkOc,British Uni Students Destroyed by Combat Training at Korean Navy Boot Camp!!,2024-05-29 12:05:19,1900-01-01 00:23:07,2666261,101100,6901.0,British Uni Studoyed by Combat Training at Korean Navy Boot Camp !!,1387,Longs,0.04050653705694979,12:00:00
